(4,8)-CMA-ES(mu_eff=2.8), Ver="0.99.40", dimension=5, 0 diagonal iter., randomSeed=1597108971610 (Tue Aug 11 11:22:51 AEST 2020)
Iteration,#Fevals: rb Function Value Delta( best ,worst) |idx: Max SD idx: Min SD  | minsigD  sigma Axisratio | time, in eig
    1( 8),      8: 2.9949206113815310e-01 (+0e+00,5e-04) |  1: 1.7e-01  2: 1.6e-01 | 1.7e-01 1.7e-01   1.00   | 13.3  0.0 
    6( 8),     48: 2.9557698965072630e-01 (+0e+00,4e-03) |  4: 1.7e-01  2: 1.5e-01 | 1.4e-01 1.7e-01   1.25   | 69.6  0.0 
   11( 8),     88: 1.9090771675109863e-03 (+0e+00,3e-01) |  1: 1.6e-01  3: 1.3e-01 | 1.2e-01 1.6e-01   1.49   | 104.3  0.0 
   16( 8),    128: 1.1682987213134766e-02 (-1e-02,2e-01) |  1: 1.1e-01  3: 8.3e-02 | 7.7e-02 1.2e-01   1.62   | 126.9  0.0 
   21( 8),    168: 4.9582540988922120e-02 (-5e-02,3e-01) |  4: 8.9e-02  3: 5.9e-02 | 5.5e-02 9.1e-02   1.74   | 150.8  0.0 
   26( 8),    208: 8.4002017974853520e-03 (-8e-03,3e-01) |  4: 1.0e-01  3: 5.6e-02 | 4.9e-02 9.2e-02   2.27   | 172.0  0.0 
   31( 8),    248: 8.5447430610656740e-03 (-8e-03,8e-02) |  4: 5.1e-02  2: 2.5e-02 | 2.0e-02 4.4e-02   2.78   | 192.8  0.0 
   36( 8),    288: 8.0084800720214840e-03 (-8e-03,1e-01) |  4: 9.1e-02  3: 3.4e-02 | 2.7e-02 6.6e-02   3.46   | 212.5  0.0 
   40( 8),    321: 1.5460371971130371e-02 (-2e-02,6e-02) |  4: 6.9e-02  3: 2.6e-02 | 2.1e-02 5.5e-02   3.65   | 229.0  0.0 
Terminated due to
  MaxIter: maximum number of iterations reached (iter=40,eval=320)
best function value 3.253817558288574E-4 at evaluation 112
best solution[0.7246976439487648, 0.4476705260017594, 0.9671615469353271, 0.6155596958236278, 0.5637678650050869]
